FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
010920;0000;;;;
010921;0000;;;;
010922;0000;;;;
010923;0000;;;;
010924;0000;;;;
010925;0000;;;;
010926;0000;;;;
010927;0000;;;;
010928;0000;;;;
010929;0000;;;;
010930;0000;;;;
011001;0000;;;;
011002;0000;;;;
011003;0000;;;;
011004;0000;;;;
011005;0000;;;;
011006;0000;;;;
011007;0000;;;;
011008;0000;;;;
011009;0000;;;;
011010;0000;;;;
011011;0000;;;;
011012;0000;;;;
011013;0000;;;;
011014;0000;;;;
011015;0000;;;;
011016;0000;;;;
011017;0000;;;;
011018;0000;;;;
011019;0000;;;;
011020;0000;;;;
011021;0000;;;;
011022;0000;;;;
011023;0000;;;;
011024;0000;;;;
011025;0000;;;;
011026;0000;;;;
011027;0000;;;;
011028;0000;;;;
011029;0000;;;;
011030;0000;;;;
011031;0000;;;;
011101;0000;;;;
011102;0000;;;;
011103;0000;;;;
011104;0000;;;;
011105;0000;;;;
011106;0000;;;;
011107;0000;;;;
011108;0000;;;;
011109;0000;;;;
011110;0000;;;;
011111;0000;;;;
011112;0000;;;;
011113;0000;;;;
011114;0000;;;;
011115;0000;;;;
011116;0000;;;;
011117;0000;;;;
011118;0000;;;;
011119;0000;;;;
011120;0000;;;;
011121;0000;;;;
011122;0000;;;;
011123;0000;;;;
011124;0000;;;;
011125;0000;;;;
011126;0000;;;;
011127;0000;;;;
011128;0000;;;;
011129;0000;;;;
011130;0000;;;;
011201;0000;;;;
011202;0000;;;;
011203;0000;;;;
011204;0000;;;;
011205;0000;;;;
011206;0000;;;;
011207;0000;;;;
011208;0000;;;;
011209;0000;;;;
011210;0000;;;;
011211;0000;;;;
011212;0000;;;;
011213;0000;;;;
011214;0000;;;;
011215;0000;;;;
011216;0000;;;;
011217;0000;;;;
011218;0000;;;;
011219;0000;;;;
011220;0000;;;;
011221;0000;;;;
011222;0000;;;;
011223;0000;;;;
011224;0000;;;;
011225;0000;;;;
011226;0000;;;;
011227;0000;;;;
011228;0000;;;;
011229;0000;;;;
011230;0000;;;;
011231;0000;;;;
020101;0000;;;;
020102;0000;;;;
020103;0000;;;;
020104;0000;;;;
020105;0000;;;;
020106;0000;;;;
020107;0000;;;;
020108;0000;;;;
020109;0000;;;;
020110;0000;;;;
020111;0000;;;;
020112;0000;;;;
020113;0000;;;;
020114;0000;;;;
020115;0000;;;;
020116;0000;;;;
020117;0000;;;;
020118;0000;;;;
020119;0000;;;;
020120;0000;;;;
020121;0000;;;;
020122;0000;;;;
020123;0000;;;;
020124;0000;;;;
020125;0000;;;;
020126;0000;;;;
020127;0000;;;;
020128;0000;;;;
020129;0000;;;;
020130;0000;;;;
020131;0000;;;;
020201;0000;;;;
020202;0000;;;;
020203;0000;;;;
020204;0000;;;;
020205;0000;;;;
020206;0000;;;;
020207;0000;;;;
020208;0000;;;;
020209;0000;;;;
020210;0000;;;;
020211;0000;;;;
020212;0000;84,0416;;;
020213;0000;69,7083;;;
020214;0000;76,4166;;;
020215;0000;76,5833;;;
020216;0000;88,1666;;;
020217;0000;68,25;;;
020218;0000;69,7083;;;
020219;0000;77,625;;;
020220;0000;84,875;;;
020221;0000;58,75;;;
020222;0000;71,0833;;;
020223;0000;72,2083;;;
020224;0000;75,875;;;
020225;0000;84,9583;;;
020226;0000;78,0416;;;
020227;0000;79,3333;;;
020228;0000;58,3333;;;
020301;0000;72,375;;;
020302;0000;73,4166;;;
020303;0000;65,2916;;;
020304;0000;77,375;;;
020305;0000;88,2916;;;
020306;0000;89,5833;;;
020307;0000;57,7083;;;
020308;0000;69,9166;;;
020309;0000;86,5;;;
020310;0000;62,9166;;;
020311;0000;65,7916;;;
020312;0000;92,9166;;;
020313;0000;88,9091;;;
020314;0000;74,3333;;;
020315;0000;87,0416;;;
020316;0000;71,2916;;;
020317;0000;68,5416;;;
020318;0000;87,2727;;;
020319;0000;83,125;;;
020320;0000;88,25;;;
020321;0000;75,625;;;
020322;0000;84,9166;;;
020323;0000;83,8333;;;
020324;0000;75,125;;;
020325;0000;65,8333;;;
020326;0000;98,8333;;;
020327;0000;88,625;;;
020328;0000;81,2916;;;
020329;0000;28,6667;;;
020330;0000;75,625;;;
020331;0000;90;;;
020401;0000;66;;;
020402;0000;73,2083;;;
020403;0000;94,1666;;;
020404;0000;108,958;;;
020405;0000;123,5;;;
020406;0000;54,4583;;;
020407;0000;67,125;;;
020408;0000;65,6666;;;
020409;0000;68,3333;;;
020410;0000;42,3333;;;
020411;0000;44,4782;;;
020412;0000;54,875;;;
020413;0000;67,5416;;;
020414;0000;51,625;;;
020415;0000;85,2083;;;
020416;0000;53,4166;;;
020417;0000;97,75;;;
020418;0000;126,042;;;
020419;0000;118,042;;;
020420;0000;128,792;;;
020421;0000;126,583;;;
020422;0000;95,25;;;
020423;0000;145,167;;;
020424;0000;67,2916;;;
020425;0000;79,625;;;
020426;0000;161,333;;;
020427;0000;163,208;;;
020428;0000;80,1666;;;
020429;0000;69,7083;;;
020430;0000;89,6666;;;
020501;0000;116,9;;;
020502;0000;;;;
020503;0000;163,667;;;
020504;0000;176,083;;;
020505;0000;205,292;;;
020506;0000;166,208;;;
020507;0000;124,917;;;
020508;0000;167,208;;;
020509;0000;201,375;;;
020510;0000;244,75;;;
